ID,Zeile (Rohquelle),Marke,Modell,Brutto kWh,Netto kWh,Puffer kWh,Puffer %,Status,Alias von Zeile,Modelljahr von,Modelljahr bis,Batterie-Generation,Bemerkung,Quelle,Issue,Marke (Rohquelle),Modell (Rohquelle),Brutto (Rohquelle),Netto (Rohquelle)
Z345,345,Tesla,Model 3 Long Range AWD,75.0,72.0,3.0,4.0,unverändert,,,,,,Rohquelle,,Tesla,Model 3 Long Range AWD,75 kWh,72.0 kWh
Z346,346,Tesla,Model 3 Long Range AWD,78.1,75.0,3.1,4.0,unverändert,,,,,,Rohquelle,,Tesla,Model 3 Long Range AWD,78.1 kWh,75.0 kWh
Z347,347,Tesla,Model 3 Long Range AWD,78.8,73.5,5.3,6.7,unverändert,,,,,,Rohquelle,,Tesla,Model 3 Long Range AWD,78.8 kWh,73.5 kWh
Z348,348,Tesla,Model 3 Long Range AWD,82.0,76.0,6.0,7.3,unverändert,,,,,,Rohquelle,,Tesla,Model 3 Long Range AWD,82 kWh,76.0 kWh
Z349,349,Tesla,Model 3 Long Range RWD,78.1,75.0,3.1,4.0,unverändert,,,,,,Rohquelle,,Tesla,Model 3 Long Range RWD,78.1 kWh,75.0 kWh
Z350,350,Tesla,Model 3 Long Range RWD,78.8,73.5,5.3,6.7,unverändert,,,,,,Rohquelle,,Tesla,Model 3 Long Range RWD,78.8 kWh,73.5 kWh
Z351,351,Tesla,Model 3 Performance,78.1,75.0,3.1,4.0,unverändert,,,,,,Rohquelle,,Tesla,Model 3 Performance,78.1 kWh,75.0 kWh
Z352,352,Tesla,Model 3 Performance,78.8,73.5,5.3,6.7,unverändert,,,,,,Rohquelle,,Tesla,Model 3 Performance,78.8 kWh,73.5 kWh
Z353,353,Tesla,Model 3 Performance,82.0,76.0,6.0,7.3,unverändert,,,,,,Rohquelle,,Tesla,Model 3 Performance,82 kWh,76.0 kWh
Z354,354,Tesla,Model 3 RWD,60.0,57.5,2.5,4.2,unverändert,,,,,,Rohquelle,,Tesla,Model 3 RWD,60 kWh,57.5 kWh
Z355,355,Tesla,Model 3 RWD,64.0,60.5,3.5,5.5,unverändert,,,,,,Rohquelle,,Tesla,Model 3 RWD,64 kWh,60.5 kWh
Z356,356,Tesla,Model 3 Standard Range plus,53.1,49.0,4.1,7.7,unverändert,,,,,,Rohquelle,,Tesla,Model 3 Standard Range plus,53.1 kWh,49.0 kWh
Z357,357,Tesla,Model 3 Standard Range plus,55.0,51.0,4.0,7.3,unverändert,,,,,,Rohquelle,,Tesla,Model 3 Standard Range plus,55 kWh,51.0 kWh
Z358,358,Tesla,Model 3 Standard Range plus,55.0,52.5,2.5,4.5,unverändert,,,,,,Rohquelle,,Tesla,Model 3 Standard Range plus,55 kWh,52.5 kWh
Z359,359,Tesla,Model S 100D,100.0,95.0,5.0,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model S 100D,100 kWh,95.0 kWh
Z360,360,Tesla,Model S 60,75.0,62.0,13.0,17.3,unverändert,,,,,,Rohquelle,,Tesla,Model S 60,75 kWh,62.0 kWh
Z361,361,Tesla,Model S 60D,75.0,62.0,13.0,17.3,unverändert,,,,,,Rohquelle,,Tesla,Model S 60D,75 kWh,62.0 kWh
Z362,362,Tesla,Model S 70,70.0,66.5,3.5,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model S 70,70 kWh,66.5 kWh
Z363,363,Tesla,Model S 70,75.0,69.0,6.0,8.0,unverändert,,,,,,Rohquelle,,Tesla,Model S 70,75 kWh,69.0 kWh
Z364,364,Tesla,Model S 70D,70.0,66.5,3.5,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model S 70D,70 kWh,66.5 kWh
Z365,365,Tesla,Model S 70D,75.0,69.0,6.0,8.0,unverändert,,,,,,Rohquelle,,Tesla,Model S 70D,75 kWh,69.0 kWh
Z366,366,Tesla,Model S 75,75.0,72.5,2.5,3.3,unverändert,,,,,,Rohquelle,,Tesla,Model S 75,75 kWh,72.5 kWh
Z367,367,Tesla,Model S 75D,75.0,72.5,2.5,3.3,unverändert,,,,,,Rohquelle,,Tesla,Model S 75D,75 kWh,72.5 kWh
Z368,368,Tesla,Model S 85,85.0,80.8,4.2,4.9,unverändert,,,,,,Rohquelle,,Tesla,Model S 85,85 kWh,80.8 kWh
Z369,369,Tesla,Model S 85D,85.0,80.8,4.2,4.9,unverändert,,,,,,Rohquelle,,Tesla,Model S 85D,85 kWh,80.8 kWh
Z370,370,Tesla,Model S 90,90.0,85.5,4.5,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model S 90,90 kWh,85.5 kWh
Z371,371,Tesla,Model S 90D,90.0,85.5,4.5,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model S 90D,90 kWh,85.5 kWh
Z372,372,Tesla,Model S Dual Motor,100.0,95.0,5.0,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model S Dual Motor,100 kWh,95.0 kWh
Z373,373,Tesla,Model S Long Range,100.0,95.0,5.0,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model S Long Range,100 kWh,95.0 kWh
Z374,374,Tesla,Model S Long Range Plus,103.0,98.0,5.0,4.9,unverändert,,,,,,Rohquelle,,Tesla,Model S Long Range Plus,103 kWh,98.0 kWh
Z375,375,Tesla,Model S P100D,100.0,95.0,5.0,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model S P100D,100 kWh,95.0 kWh
Z376,376,Tesla,Model S P60,75.0,62.0,13.0,17.3,unverändert,,,,,,Rohquelle,,Tesla,Model S P60,75 kWh,62.0 kWh
Z377,377,Tesla,Model S P70,70.0,66.5,3.5,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model S P70,70 kWh,66.5 kWh
Z378,378,Tesla,Model S P75,75.0,72.5,2.5,3.3,unverändert,,,,,,Rohquelle,,Tesla,Model S P75,75 kWh,72.5 kWh
Z379,379,Tesla,Model S P85,85.0,80.8,4.2,4.9,unverändert,,,,,,Rohquelle,,Tesla,Model S P85,85 kWh,80.8 kWh
Z380,380,Tesla,Model S P85D,85.0,80.8,4.2,4.9,unverändert,,,,,,Rohquelle,,Tesla,Model S P85D,85 kWh,80.8 kWh
