ID,Zeile (Rohquelle),Marke,Modell,Brutto kWh,Netto kWh,Puffer kWh,Puffer %,Status,Alias von Zeile,Modelljahr von,Modelljahr bis,Batterie-Generation,Bemerkung,Quelle,Issue,Marke (Rohquelle),Modell (Rohquelle),Brutto (Rohquelle),Netto (Rohquelle)
Z002,2,Audi,e-tron 50 quattro,71.0,64.7,6.3,8.9,unverändert,,,,,,Rohquelle,,Audi,e-tron 50 quattro,71 kWh,64.7 kWh
Z003,3,Audi,e-tron 55 quattro,95.0,83.6,11.4,12.0,unverändert,,,,,,Rohquelle,,Audi,e-tron 55 quattro,95 kWh,83.6 kWh
Z004,4,Audi,e-tron 55 quattro,95.0,86.5,8.5,8.9,unverändert,,,,,,Rohquelle,,Audi,e-tron 55 quattro,95 kWh,86.5 kWh
Z005,5,Audi,e-tron 55 quattro,95.0,89.0,6.0,6.3,unverändert,,,,,,Rohquelle,,Audi,e-tron 55 quattro,95 kWh,89.0 kWh
Z006,6,Audi,e-tron GT,93.4,83.7,9.7,10.4,unverändert,,,,,,Rohquelle,,Audi,e-tron GT,93.4 kWh,83.7 kWh
Z007,7,Audi,e-tron S quattro,95,86.5,8.5,8.9,korrigiert,,2020,2022,95 kWh,105/97 sind die Werte der großen Taycan-Batterie. Der e-tron S (SUV) hat dieselbe 95-kWh-Batterie wie der Sportback S.,https://ev-database.org/car/1658/Audi-e-tron-S https://ev-database.org/car/1659/Audi-e-tron-S-Sportback,#5,Audi,e-tron S quattro,105 kWh,97.0 kWh
Z008,8,Audi,e-tron Sportback 50 quattro,71.0,64.7,6.3,8.9,unverändert,,,,,,Rohquelle,,Audi,e-tron Sportback 50 quattro,71 kWh,64.7 kWh
Z009,9,Audi,e-tron Sportback 55 quattro,95.0,83.6,11.4,12.0,unverändert,,,,,,Rohquelle,,Audi,e-tron Sportback 55 quattro,95 kWh,83.6 kWh
Z010,10,Audi,e-tron Sportback 55 quattro,95.0,86.5,8.5,8.9,unverändert,,,,,,Rohquelle,,Audi,e-tron Sportback 55 quattro,95 kWh,86.5 kWh
Z011,11,Audi,e-tron Sportback 55 quattro,95.0,89.0,6.0,6.3,unverändert,,,,,,Rohquelle,,Audi,e-tron Sportback 55 quattro,95 kWh,89.0 kWh
Z012,12,Audi,e-tron Sportback S quattro,95.0,86.5,8.5,8.9,unverändert,,,,,,Rohquelle,,Audi,e-tron Sportback S quattro,95 kWh,86.5 kWh
Z013,13,Audi,Q4 35 e-tron,55.0,51.5,3.5,6.4,unverändert,,,,,,Rohquelle,,Audi,Q4 35 e-tron,55 kWh,51.5 kWh
Z014,14,Audi,Q4 40 e-tron,63.0,59.0,4.0,6.3,unverändert,,,,,,Rohquelle,,Audi,Q4 40 e-tron,63 kWh,59.0 kWh
Z015,15,Audi,Q4 40 e-tron,82.0,76.6,5.4,6.6,unverändert,,,,,,Rohquelle,,Audi,Q4 40 e-tron,82 kWh,76.6 kWh
Z016,16,Audi,Q4 45 e-tron,82.0,76.6,5.4,6.6,unverändert,,,,,,Rohquelle,,Audi,Q4 45 e-tron,82 kWh,76.6 kWh
Z017,17,Audi,Q4 45 e-tron quattro,82.0,76.6,5.4,6.6,unverändert,,,,,,Rohquelle,,Audi,Q4 45 e-tron quattro,82 kWh,76.6 kWh
Z018,18,Audi,Q4 50 e-tron quattro,82.0,76.6,5.4,6.6,unverändert,,,,,,Rohquelle,,Audi,Q4 50 e-tron quattro,82 kWh,76.6 kWh
Z019,19,Audi,Q4 55 e-tron quattro,82.0,76.6,5.4,6.6,unverändert,,,,,,Rohquelle,,Audi,Q4 55 e-tron quattro,82 kWh,76.6 kWh
Z020,20,Audi,Q4 Sportback 35 e-tron,55.0,51.5,3.5,6.4,unverändert,,,,,,Rohquelle,,Audi,Q4 Sportback 35 e-tron,55 kWh,51.5 kWh
Z021,21,Audi,Q4 Sportback 40 e-tron,63.0,59.0,4.0,6.3,unverändert,,,,,,Rohquelle,,Audi,Q4 Sportback 40 e-tron,63 kWh,59.0 kWh
Z022,22,Audi,Q4 Sportback 40 e-tron,82.0,76.6,5.4,6.6,unverändert,,,,,,Rohquelle,,Audi,Q4 Sportback 40 e-tron,82 kWh,76.6 kWh
Z023,23,Audi,Q4 Sportback 45 e-tron,82.0,76.6,5.4,6.6,unverändert,,,,,,Rohquelle,,Audi,Q4 Sportback 45 e-tron,82 kWh,76.6 kWh
Z024,24,Audi,Q4 Sportback 45 e-tron quattro,82.0,76.6,5.4,6.6,unverändert,,,,,,Rohquelle,,Audi,Q4 Sportback 45 e-tron quattro,82 kWh,76.6 kWh
Z025,25,Audi,Q4 Sportback 50 e-tron quattro,82.0,76.6,5.4,6.6,unverändert,,,,,,Rohquelle,,Audi,Q4 Sportback 50 e-tron quattro,82 kWh,76.6 kWh
Z026,26,Audi,Q4 Sportback 55 e-tron quattro,82.0,76.6,5.4,6.6,unverändert,,,,,,Rohquelle,,Audi,Q4 Sportback 55 e-tron quattro,82 kWh,76.6 kWh
Z027,27,Audi,Q6 e-tron,83.0,75.8,7.2,8.7,unverändert,,,,,,Rohquelle,,Audi,Q6 e-tron,83 kWh,75.8 kWh
Z028,28,Audi,Q6 e-tron performance,100.0,94.9,5.1,5.1,unverändert,,,,,,Rohquelle,,Audi,Q6 e-tron performance,100 kWh,94.9 kWh
Z029,29,Audi,Q6 e-tron quattro,100.0,94.9,5.1,5.1,unverändert,,,,,,Rohquelle,,Audi,Q6 e-tron quattro,100 kWh,94.9 kWh
Z030,30,Audi,Q6 Sportback e-tron performance,100.0,94.9,5.1,5.1,unverändert,,,,,,Rohquelle,,Audi,Q6 Sportback e-tron performance,100 kWh,94.9 kWh
Z031,31,Audi,Q6 Sportback e-tron quattro,100.0,94.9,5.1,5.1,unverändert,,,,,,Rohquelle,,Audi,Q6 Sportback e-tron quattro,100 kWh,94.9 kWh
Z032,32,Audi,Q8 50 e-tron,95.0,89.0,6.0,6.3,unverändert,,,,,,Rohquelle,,Audi,Q8 50 e-tron,95 kWh,89.0 kWh
Z033,33,Audi,Q8 55 e-tron,114.0,106.0,8.0,7.0,unverändert,,,,,,Rohquelle,,Audi,Q8 55 e-tron,114 kWh,106.0 kWh
Z034,34,Audi,Q8 Sportback 50 e-tron,95.0,89.0,6.0,6.3,unverändert,,,,,,Rohquelle,,Audi,Q8 Sportback 50 e-tron,95 kWh,89.0 kWh
Z035,35,Audi,Q8 Sportback 55 e-tron,114.0,106.0,8.0,7.0,unverändert,,,,,,Rohquelle,,Audi,Q8 Sportback 55 e-tron,114 kWh,106.0 kWh
Z036,36,Audi,RS e-tron GT,93.4,83.7,9.7,10.4,unverändert,,,,,,Rohquelle,,Audi,RS e-tron GT,93.4 kWh,83.7 kWh
Z037,37,Audi,RS e-tron GT performance,105.0,97.0,8.0,7.6,unverändert,,,,,,Rohquelle,,Audi,RS e-tron GT performance,105 kWh,97.0 kWh
Z038,38,Audi,SQ6 e-tron quattro,100.0,94.9,5.1,5.1,unverändert,,,,,,Rohquelle,,Audi,SQ6 e-tron quattro,100 kWh,94.9 kWh
Z039,39,Audi,SQ6 Sportback e-tron quattro,100.0,94.9,5.1,5.1,unverändert,,,,,,Rohquelle,,Audi,SQ6 Sportback e-tron quattro,100 kWh,94.9 kWh
Z040,40,Audi,SQ8 e-tron quattro,114.0,106.0,8.0,7.0,unverändert,,,,,,Rohquelle,,Audi,SQ8 e-tron quattro,114 kWh,106.0 kWh
Z041,41,Audi,SQ8 Sportback e-tron quattro,114.0,106.0,8.0,7.0,unverändert,,,,,,Rohquelle,,Audi,SQ8 Sportback e-tron quattro,114 kWh,106.0 kWh
Z042,42,BMW,i3,22.0,18.8,3.2,14.5,unverändert,,,,,,Rohquelle,,BMW,i3,22 kWh,18.8 kWh
Z043,43,BMW,i3,33.2,27.2,6.0,18.1,unverändert,,,,,,Rohquelle,,BMW,i3,33.2 kWh,27.2 kWh
Z044,44,BMW,i3,42.2,37.9,4.3,10.2,unverändert,,,,,,Rohquelle,,BMW,i3,42.2 kWh,37.9 kWh
Z045,45,BMW,i3 (Range Extender),22.0,18.8,3.2,14.5,unverändert,,,,,,Rohquelle,,BMW,i3 (Range Extender),22 kWh,18.8 kWh
Z046,46,BMW,i3 (Range Extender),33.2,27.2,6.0,18.1,unverändert,,,,,,Rohquelle,,BMW,i3 (Range Extender),33.2 kWh,27.2 kWh
Z047,47,BMW,i3 (Range Extender),42.2,37.9,4.3,10.2,unverändert,,,,,,Rohquelle,,BMW,i3 (Range Extender),42.2 kWh,37.9 kWh
Z048,48,BMW,i3s,33.2,27.2,6.0,18.1,unverändert,,,,,,Rohquelle,,BMW,i3s,33.2 kWh,27.2 kWh
Z049,49,BMW,i3s,42.2,37.9,4.3,10.2,unverändert,,,,,,Rohquelle,,BMW,i3s,42.2 kWh,37.9 kWh
Z050,50,BMW,i3s (Range Extender),33.2,27.2,6.0,18.1,unverändert,,,,,,Rohquelle,,BMW,i3s (Range Extender),33.2 kWh,27.2 kWh
Z051,51,BMW,i4 eDrive35,70.3,66.0,4.3,6.1,unverändert,,,,,,Rohquelle,,BMW,i4 eDrive35,70.3 kWh,66.0 kWh
Z052,52,BMW,i4 eDrive40,83.9,80.7,3.2,3.8,unverändert,,,,,,Rohquelle,,BMW,i4 eDrive40,83.9 kWh,80.7 kWh
Z053,53,BMW,i4 M50 xDrive,83.9,80.7,3.2,3.8,unverändert,,,,,,Rohquelle,,BMW,i4 M50 xDrive,83.9 kWh,80.7 kWh
Z054,54,BMW,i4 M60 xDrive,83.9,81.1,2.8,3.3,unverändert,,,,,,Rohquelle,,BMW,i4 M60 xDrive,83.9 kWh,81.1 kWh
Z055,55,BMW,i4 xDrive40,83.9,80.7,3.2,3.8,unverändert,,,,,,Rohquelle,,BMW,i4 xDrive40,83.9 kWh,80.7 kWh
Z056,56,BMW,i5 eDrive40,83.9,81.2,2.7,3.2,unverändert,,,,,,Rohquelle,,BMW,i5 eDrive40,83.9 kWh,81.2 kWh
Z057,57,BMW,i5 eDrive40 Touring,83.9,81.2,2.7,3.2,unverändert,,,,,,Rohquelle,,BMW,i5 eDrive40 Touring,83.9 kWh,81.2 kWh
Z058,58,BMW,i5 M60 xDrive,83.9,81.2,2.7,3.2,unverändert,,,,,,Rohquelle,#15,BMW,i5 M60,83.9 kWh,81.2 kWh
Z059,59,BMW,i5 M60 xDrive Touring,83.9,81.2,2.7,3.2,unverändert,,,,,,Rohquelle,,BMW,i5 M60 xDrive Touring,83.9 kWh,81.2 kWh
Z060,60,BMW,i5 xDrive40,83.9,81.2,2.7,3.2,unverändert,,,,,,Rohquelle,,BMW,i5 xDrive40,83.9 kWh,81.2 kWh
Z061,61,BMW,i5 xDrive40 Touring,83.9,81.2,2.7,3.2,unverändert,,,,,,Rohquelle,,BMW,i5 xDrive40 Touring,83.9 kWh,81.2 kWh
Z062,62,BMW,i7 eDrive50,105.7,101.7,4.0,3.8,unverändert,,,,,,Rohquelle,,BMW,i7 eDrive50,105.7 kWh,101.7 kWh
Z063,63,BMW,i7 M70,105.7,101.7,4.0,3.8,unverändert,,,,,,Rohquelle,,BMW,i7 M70,105.7 kWh,101.7 kWh
Z064,64,BMW,i7 xDrive60,105.7,101.7,4.0,3.8,unverändert,,,,,,Rohquelle,,BMW,i7 xDrive60,105.7 kWh,101.7 kWh
Z065,65,BMW,iX M60,111.5,105.2,6.3,5.7,korrigiert,,2022,2025,,"Laut BMW-Datenblatt und ev-database hat der iX M60 111,5 / 105,2 kWh.",https://ev-database.org/uk/car/1590/BMW-iX-M60 https://www.press.bmwgroup.com/asia/article/attachment/T0334029EN/481303,#9,BMW,iX M60,111.5 kWh,107.7 kWh
Z066,66,BMW,iX M70,111.5,108.9,2.6,2.3,bestätigt,,2025,,Facelift 2025,"Nettowert bestätigt (BMW, Facelift 2025). Bruttowert nicht offiziell: ev-database nennt 100,0 bzw. 115,0 kWh.",https://www.press.bmwgroup.com/global/article/detail/T0447642EN/the-new-bmw-ix?language=en https://ev-database.org/car/3111/BMW-iX-M70-xDrive,#9,BMW,iX M70,111.5 kWh,108.9 kWh
Z067,67,BMW,iX xDrive40,76.6,71.0,5.6,7.3,korrigiert,,2021,2025,,"Laut BMW-Datenblatt (06/2021) hat der iX xDrive40 76,6 / 71,0 kWh.",https://www.press.bmwgroup.com/asia/article/attachment/T0334029EN/481303 https://ev-database.org/uk/car/1472/BMW-iX-xDrive-40,#9,BMW,iX xDrive 40,76.6 kWh,74.4 kWh
Z068,68,BMW,iX xDrive45,100.6,94.8,5.8,5.8,bestätigt,,2025,,Facelift 2025,"Nettowert bestätigt (BMW, Facelift 2025). Bruttowert nicht offiziell: ev-database nennt 100,0 bzw. 115,0 kWh.",https://www.press.bmwgroup.com/global/article/detail/T0447642EN/the-new-bmw-ix?language=en https://ev-database.org/car/3109/BMW-iX-xDrive45,#9,BMW,iX xDrive 45,100.6 kWh,94.8 kWh
Z069,69,BMW,iX xDrive50,111.5,105.2,6.3,5.7,korrigiert,,2021,2025,,"Laut BMW-Datenblatt (06/2021) hat der iX xDrive50 111,5 / 105,2 kWh.",https://www.press.bmwgroup.com/asia/article/attachment/T0334029EN/481303,#9,BMW,iX xDrive 50,111.5 kWh,109.4 kWh
Z070,70,BMW,iX xDrive60,111.5,109.1,2.4,2.2,bestätigt,,2025,,Facelift 2025,"Nettowert bestätigt (BMW, Facelift 2025). Bruttowert nicht offiziell: ev-database nennt 100,0 bzw. 115,0 kWh.",https://www.press.bmwgroup.com/global/article/detail/T0447642EN/the-new-bmw-ix?language=en https://ev-database.org/car/3110/BMW-iX-xDrive60,#9,BMW,iX xDrive 60,111.5 kWh,109.1 kWh
Z071,71,BMW,iX1 eDrive20,66.5,64.7,1.8,2.7,unverändert,,,,,,Rohquelle,,BMW,iX1 eDrive20,66.5 kWh,64.7 kWh
Z072,72,BMW,iX1 xDrive30,66.5,64.7,1.8,2.7,unverändert,,,,,,Rohquelle,,BMW,iX1 xDrive30,66.5 kWh,64.7 kWh
Z073,73,BMW,iX2 eDrive20,66.5,64.7,1.8,2.7,unverändert,,,,,,Rohquelle,,BMW,iX2 eDrive20,66.5 kWh,64.7 kWh
Z074,74,BMW,iX2 xDrive30,66.5,64.7,1.8,2.7,unverändert,,,,,,Rohquelle,#15,BMW,iX2 eDrive30,66.5 kWh,64.7 kWh
Z075,75,BMW,iX3,80.0,73.83,6.17,7.7,unverändert,,,,,,Rohquelle,,BMW,iX3,80 kWh,73.83 kWh
Z076,76,Citroën,C-Zero,16.0,14.5,1.5,9.4,unverändert,,,,,,Rohquelle,,Citroen,C-Zero,16 kWh,14.5 kWh
Z077,77,Citroën,ë-Berlingo M,50.0,46.3,3.7,7.4,unverändert,,,,,,Rohquelle,,Citroen,e-Berlingo M,50 kWh,46.3 kWh
Z078,78,Citroën,ë-Berlingo M,52.0,50.0,2.0,3.8,unverändert,,,,,,Rohquelle,,Citroen,e-Berlingo M,52 kWh,50.0 kWh
Z079,79,Citroën,E-Berlingo Multispace,22.5,20.5,2.0,8.9,unverändert,,,,,,Rohquelle,,Citroen,E-Berlingo Multispace,22.5 kWh,20.5 kWh
Z080,80,Citroën,ë-Berlingo XL,50.0,46.3,3.7,7.4,unverändert,,,,,,Rohquelle,,Citroen,e-Berlingo XL,50 kWh,46.3 kWh
Z081,81,Citroën,ë-Berlingo XL,52.0,50.0,2.0,3.8,unverändert,,,,,,Rohquelle,,Citroen,e-Berlingo XL,52 kWh,50.0 kWh
Z082,82,Citroën,ë-C3,44.0,43.8,0.2,0.5,bestätigt,,2024,,44 kWh LFP,"Der kleine Puffer ist real (LFP). ADAC: 44,2 / 43,8, ev-database: 44,0 / 43,8 kWh.",https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/citroen/citroen-c3-test/ https://ev-database.org/car/2039/Citroen-e-C3-Standard-Range-44-kWh,#10,Citroen,e-C3,44 kWh,43.8 kWh
Z083,83,Citroën,ë-C3 Aircross,44.0,43.8,0.2,0.5,bestätigt,,2024,,44 kWh LFP,"Der kleine Puffer ist real (LFP). ADAC: 44,2 / 43,8, ev-database: 44,0 / 43,8 kWh.",https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/citroen/citroen-c3-test/ https://ev-database.org/car/2039/Citroen-e-C3-Standard-Range-44-kWh,#10,Citroen,e-C3 Aircross,44 kWh,43.8 kWh
Z084,84,Citroën,ë-C3 Aircross Extended Range,54.0,52.8,1.2,2.2,korrigiert,,2025,,54 kWh LFP,"ADAC (Herstellerdaten): 54,0 / 52,8 kWh. Die 53,5 kWh sind ein Schätzwert von ev-database. Der baugleiche Opel Frontera ER hat laut ADAC 52,0 kWh netto.",https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/citroen/c3-aircross/2generation/350756/ https://ev-database.org/car/3228/Citroen-e-C3-Aircross-Extended-Range-54-kWh,#10,Citroen,e-C3 Aircross Extended Range,54 kWh,53.5 kWh
Z085,85,Citroën,ë-C4,50.0,46.3,3.7,7.4,unverändert,,,,,,Rohquelle,,Citroen,e-C4,50 kWh,46.3 kWh
Z086,86,Citroën,ë-C4,54.0,50.8,3.2,5.9,unverändert,,,,,,Rohquelle,,Citroen,e-C4,54 kWh,50.8 kWh
Z087,87,Citroën,ë-C4 X,50.0,46.3,3.7,7.4,unverändert,,,,,,Rohquelle,,Citroen,e-C4 X,50 kWh,46.3 kWh
Z088,88,Citroën,ë-C4 X,54.0,50.8,3.2,5.9,unverändert,,,,,,Rohquelle,,Citroen,e-C4 X,54 kWh,50.8 kWh
Z089,89,Citroën,ë-Jumpy Combi M,50.0,46.3,3.7,7.4,unverändert,,,,,,Rohquelle,,Citroen,e-Jumpy Combi M,50 kWh,46.3 kWh
Z090,90,Citroën,ë-Jumpy Combi M,75.0,68.0,7.0,9.3,unverändert,,,,,,Rohquelle,,Citroen,e-Jumpy Combi M,75 kWh,68.0 kWh
Z091,91,Citroën,ë-Jumpy Combi XL,50.0,46.3,3.7,7.4,unverändert,,,,,,Rohquelle,,Citroen,e-Jumpy Combi XL,50 kWh,46.3 kWh
Z092,92,Citroën,ë-Jumpy Combi XL,75.0,68.0,7.0,9.3,unverändert,,,,,,Rohquelle,,Citroen,e-Jumpy Combi XL,75 kWh,68.0 kWh
Z093,93,Citroën,ë-Jumpy Combi XS,50.0,46.3,3.7,7.4,unverändert,,,,,,Rohquelle,,Citroen,e-Jumpy Combi XS,50 kWh,46.3 kWh
Z094,94,Citroën,ë-SpaceTourer M,50.0,46.3,3.7,7.4,unverändert,,,,,,Rohquelle,,Citroen,e-Spacetourer M,50 kWh,46.3 kWh
Z095,95,Citroën,ë-SpaceTourer M,75.0,68.0,7.0,9.3,unverändert,,,,,,Rohquelle,,Citroen,e-Spacetourer M,75 kWh,68.0 kWh
Z096,96,Citroën,ë-SpaceTourer XL,50.0,46.3,3.7,7.4,unverändert,,,,,,Rohquelle,,Citroen,e-Spacetourer XL,50 kWh,46.3 kWh
Z097,97,Citroën,ë-SpaceTourer XL,75.0,68.0,7.0,9.3,unverändert,,,,,,Rohquelle,,Citroen,e-Spacetourer XL,75 kWh,68.0 kWh
Z098,98,Citroën,ë-SpaceTourer XS,50.0,46.3,3.7,7.4,unverändert,,,,,,Rohquelle,,Citroen,e-Spacetourer XS,50 kWh,46.3 kWh
Z099,99,Cupra,Born,63,59,4,6.3,korrigiert,,2024,2026,59 kWh (MY25),53/60 ist unmöglich (netto > brutto). Gemeint ist vermutlich die 59-kWh-Batterie ab Modelljahr 2025 mit 63 / 59 kWh (ev-database; electrive nennt 63 / 60). Die Zuordnung ist erschlossen und muss bestätigt werden.,https://ev-database.org/de/pkw/3262/CUPRA-Born-150-kW---59-kWh https://ev-database.org/car/2233/CUPRA-Born-170-kW---59-kWh https://www.electrive.net/2024/08/08/cupra-ueberarbeitet-das-born-angebot/,#1,Cupra,Born,53 kWh,60.0 kWh
Z100,100,Cupra,Born,62.0,58.0,4.0,6.5,bestätigt,,2021,2024,58 kWh,Born 58 kWh (150 kW) bestätigt.,https://ev-database.org/car/1516/CUPRA-Born-150-kW---58-kWh,#1,Cupra,Born,62 kWh,58.0 kWh
Z101,101,Cupra,Born,82.0,77.0,5.0,6.1,bestätigt,,2022,2025,77 kWh,Born 77 kWh bestätigt.,https://ev-database.org/car/1518/CUPRA-Born-170-kW---77-kWh,#1,Cupra,Born,82 kWh,77.0 kWh
Z102,102,Cupra,Born e-boost,62.0,58.0,4.0,6.5,bestätigt,,2022,2024,58 kWh,Born 58 kWh e-Boost (170 kW) bestätigt.,https://ev-database.org/car/1517/CUPRA-Born-170-kW---58-kWh,#1,Cupra,Born e-boost,62 kWh,58.0 kWh
Z103,103,Cupra,Tavascan Endurance,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Cupra,Tavascan Endurance,82 kWh,77.0 kWh
Z104,104,Cupra,Tavascan VZ,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Cupra,Tavascan VZ,82 kWh,77.0 kWh
Z105,105,Dacia,Spring Electric,26.8,25.0,1.8,6.7,zu prüfen,,,,,"Quellen widersprechen sich: ADAC (Herstellerdaten) 27,4 / 26,8 kWh, ev-database 26,8 / 25,0 kWh (netto geschätzt). Für den SoH macht das rund 7 % aus.",Rohquelle,#4,Dacia,Spring Electric,26.8 kWh,25.0 kWh
Z106,106,Dacia,Spring Electric 45,26.8,25.0,1.8,6.7,zu prüfen,,,,,"Quellen widersprechen sich: ADAC (Herstellerdaten) 27,4 / 26,8 kWh, ev-database 26,8 / 25,0 kWh (netto geschätzt). Für den SoH macht das rund 7 % aus.",Rohquelle,#4,Dacia,Spring Electric 45,26.8 kWh,25.0 kWh
Z107,107,Dacia,Spring Electric 65,26.8,25.0,1.8,6.7,zu prüfen,,,,,"Quellen widersprechen sich: ADAC (Herstellerdaten) 27,4 / 26,8 kWh, ev-database 26,8 / 25,0 kWh (netto geschätzt). Für den SoH macht das rund 7 % aus.",Rohquelle,#4,Dacia,Spring Electric 65,26.8 kWh,25.0 kWh
Z108,108,Dacia,Spring Electric 65 Extreme,26.8,25.0,1.8,6.7,zu prüfen,,,,,"Quellen widersprechen sich: ADAC (Herstellerdaten) 27,4 / 26,8 kWh, ev-database 26,8 / 25,0 kWh (netto geschätzt). Für den SoH macht das rund 7 % aus.",Rohquelle,#4,Dacia,Spring Electric 65 Extreme,26.8 kWh,25.0 kWh
Z109,109,Ford,F-150 Lightning ER,143.4,131.0,12.4,8.6,unverändert,,,,,,Rohquelle,,Ford,F-150 Lightning ER,143.4 kWh,131.0 kWh
Z110,110,Ford,F-150 Lightning SR,110.0,98.0,12.0,10.9,unverändert,,,,,,Rohquelle,,Ford,F-150 Lightning SR,110 kWh,98.0 kWh
Z111,111,Ford,Mustang Mach-E ER AWD,98.7,88.0,10.7,10.8,unverändert,,,,,,Rohquelle,,Ford,Mustang Mach-E ER AWD,98.7 kWh,88.0 kWh
Z112,112,Ford,Mustang Mach-E ER AWD,98.7,91.0,7.7,7.8,unverändert,,,,,,Rohquelle,,Ford,Mustang Mach-E ER AWD,98.7 kWh,91.0 kWh
Z113,113,Ford,Mustang Mach-E ER RWD,98.7,88.0,10.7,10.8,unverändert,,,,,,Rohquelle,,Ford,Mustang Mach-E ER RWD,98.7 kWh,88.0 kWh
Z114,114,Ford,Mustang Mach-E ER RWD,98.7,91.0,7.7,7.8,unverändert,,,,,,Rohquelle,,Ford,Mustang Mach-E ER RWD,98.7 kWh,91.0 kWh
Z115,115,Ford,Mustang Mach-E GT,98.7,88.0,10.7,10.8,unverändert,,,,,,Rohquelle,,Ford,Mustang Mach-E GT,98.7 kWh,88.0 kWh
Z116,116,Ford,Mustang Mach-E GT,98.7,91.0,7.7,7.8,unverändert,,,,,,Rohquelle,,Ford,Mustang Mach-E GT,98.7 kWh,91.0 kWh
Z117,117,Ford,Mustang Mach-E Rally,98.7,91.0,7.7,7.8,unverändert,,,,,,Rohquelle,,Ford,Mustang Mach-E Rally,98.7 kWh,91.0 kWh
Z118,118,Ford,Mustang Mach-E SR AWD,75.7,68.0,7.7,10.2,unverändert,,,,,,Rohquelle,,Ford,Mustang Mach-E SR AWD,75.7 kWh,68.0 kWh
Z119,119,Ford,Mustang Mach-E SR AWD,75.7,70.0,5.7,7.5,unverändert,,,,,,Rohquelle,,Ford,Mustang Mach-E SR AWD,75.7 kWh,70.0 kWh
Z120,120,Ford,Mustang Mach-E SR AWD,78.0,72.6,5.4,6.9,unverändert,,,,,,Rohquelle,,Ford,Mustang Mach-E SR AWD,78 kWh,72.6 kWh
Z121,121,Ford,Mustang Mach-E SR RWD,75.7,68.0,7.7,10.2,unverändert,,,,,,Rohquelle,,Ford,Mustang Mach-E SR RWD,75.7 kWh,68.0 kWh
Z122,122,Ford,Mustang Mach-E SR RWD,75.7,70.0,5.7,7.5,unverändert,,,,,,Rohquelle,,Ford,Mustang Mach-E SR RWD,75.7 kWh,70.0 kWh
Z123,123,Ford,Mustang Mach-E SR RWD,78.0,72.6,5.4,6.9,unverändert,,,,,,Rohquelle,,Ford,Mustang Mach-E SR RWD,78 kWh,72.6 kWh
Z124,124,Hyundai,INSTER Long Range,49.0,46.0,3.0,6.1,unverändert,,,,,,Rohquelle,,Hyundai,INSTER Long Range,49.0 kWh,46.0 kWh
Z125,125,Hyundai,INSTER Standard Range,42.0,39.0,3.0,7.1,unverändert,,,,,,Rohquelle,,Hyundai,INSTER Standard Range,42.0 kWh,39.0 kWh
Z126,126,Hyundai,IONIQ 5 AWD,84.0,80.0,4.0,4.8,unverändert,,,,,,Rohquelle,,Hyundai,IONIQ 5 AWD,84.0 kWh,80.0 kWh
Z127,127,Hyundai,IONIQ 5 Long Range 2WD,72.6,70.0,2.6,3.6,unverändert,,,,,,Rohquelle,,Hyundai,IONIQ 5 Long Range 2WD,72.6 kWh,70.0 kWh
Z128,128,Hyundai,IONIQ 5 Long Range 2WD,77.4,74.0,3.4,4.4,unverändert,,,,,,Rohquelle,,Hyundai,IONIQ 5 Long Range 2WD,77.4 kWh,74.0 kWh
Z129,129,Hyundai,IONIQ 5 Long Range AWD,72.6,70.0,2.6,3.6,unverändert,,,,,,Rohquelle,,Hyundai,IONIQ 5 Long Range AWD,72.6 kWh,70.0 kWh
Z130,130,Hyundai,IONIQ 5 Long Range AWD,77.4,74.0,3.4,4.4,unverändert,,,,,,Rohquelle,,Hyundai,IONIQ 5 Long Range AWD,77.4 kWh,74.0 kWh
Z131,131,Hyundai,IONIQ 5 N,84.0,80.0,4.0,4.8,unverändert,,,,,,Rohquelle,,Hyundai,IONIQ 5 N,84.0 kWh,80.0 kWh
Z132,132,Hyundai,IONIQ 5 Project 45,72.6,70.0,2.6,3.6,unverändert,,,,,,Rohquelle,,Hyundai,IONIQ 5 Project 45,72.6 kWh,70.0 kWh
Z133,133,Hyundai,IONIQ 5 RWD,63.0,60.0,3.0,4.8,unverändert,,,,,,Rohquelle,,Hyundai,IONIQ 5 RWD,63.0 kWh,60.0 kWh
Z134,134,Hyundai,IONIQ 5 RWD,84.0,80.0,4.0,4.8,unverändert,,,,,,Rohquelle,,Hyundai,IONIQ 5 RWD,84.0 kWh,80.0 kWh
Z135,135,Hyundai,IONIQ 5 Standard Range 2WD,58.0,54.0,4.0,6.9,unverändert,,,,,,Rohquelle,,Hyundai,IONIQ 5 Standard Range 2WD,58.0 kWh,54.0 kWh
Z136,136,Hyundai,IONIQ 5 Standard Range AWD,58.0,54.0,4.0,6.9,unverändert,,,,,,Rohquelle,,Hyundai,IONIQ 5 Standard Range AWD,58.0 kWh,54.0 kWh
Z137,137,Hyundai,IONIQ 6 Long Range 2WD,77.4,74.0,3.4,4.4,unverändert,,,,,,Rohquelle,,Hyundai,IONIQ 6 Long Range 2WD,77.4 kWh,74.0 kWh
